
Available Providers (1355)
-------------------------------------------------------------------
{A676B545-4CFB-4306-A067-502D9A0F2220}	User-mode PnP Manager Trace
{C3C5D8AF-2FD5-4500-A8E7-379C2D0BBE2E}	WPD API Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9A}	IMAPI2 Raw CD Writer
{8B98D3F2-3CC6-0B9C-6651-9649CCE5C752}	MSDADIAG.ETW
{106B464A-8043-46B1-8CB8-E92A0CD7A560}	BFE Trace Provider
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E94}	IMAPI2 Utilities
{4B647745-F438-0A42-F870-5DBD29949C99}	SQLSRV32.1
{0EFF663F-8B6E-4E6D-8182-087A8EAA29CB}	Windows Defender Firewall API - GP
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E96}	IMAPI2 Write Engine
{0741C7BE-DAAC-4A5B-B00A-4BD9A2D89D0E}	Microsoft-Windows-LLTD-MapperIO
{F01B7774-7ED7-401E-8088-B576793D7841}	Certificate Services Client Trace
{4199EE71-D55D-47D7-9F57-34A1D5B2C904}	TerminalServer-MediaFoundationPlugin
{96AB095A-9519-4F5C-81EE-C510B0A45463}	UMB Trace
{082DFF20-F430-11D9-8CD6-0800200C9A66}	Mobility Center Trace
{24722B88-DF97-4FF6-E395-DB533AC42A1E}	BCP.1
{485E7DEA-0A80-11D8-AD15-505054503030}	UMDF - Driver Manager Trace
{C2BA06E2-F7CE-44AA-9E7E-62652CDEFE97}	Windows Wininit Trace
{D804A67F-4C25-43C1-896F-89FF78B3A911}	WMP Network Sharing Taskbar
{B2FC00C4-2941-4D11-983B-B16E8AA4E25D}	Ntfs_NtfsLog
{1AC55562-D4FF-4BC5-8EF3-A18E07C4668E}	Network Location Awareness Trace
{8ED60A3A-8C12-49C5-A518-FDF451BC10FC}	WMP Network Sharing API
{42695762-EA50-497A-9068-5CBBB35E0B95}	Windows Notification Facility Provider
{C92CF544-91B3-4DC0-8E11-C580339A0BF8}	NTLM Security Protocol
{6C770D53-0441-AFD4-DCAB-1D89155FECFC}	MSADOX.1
{17ABF473-982C-4D0E-B502-3A59D89E71DE}	WPD WMDMCompat Trace
{932B59F1-90C2-D8BA-0956-3975C344AE2B}	ODBCBCP.1
{94335EB3-79EA-44D5-8EA9-306F49B3A070}	Downlevel IPsec Policy Store
{EF4109DC-68FC-45AF-B329-CA2825437209}	Certificate Services Client CredentialRoaming Trace
{0C51B20C-F755-48A8-8123-BF6DA2ADC727}	TS Client Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E98}	IMAPI2 Standard Data Writer
{D905AC1C-65E7-4242-99EA-FE66A8355DF8}	Native WIFI Filter Driver Trace
